valor_original;nombre_canonico;sector
acciona, s.a;ACCIONA, S.A.;Energía
acciona, s.a.;ACCIONA, S.A.;Energía
aeb;AEB — Asociación Española de Banca;Banca
aebanca;AEB — Asociación Española de Banca;Banca
aena;Aena, S.M.E. S.A.;Transporte
aena s.m.e. s.a.;Aena, S.M.E. S.A.;Transporte
aena, s.m.e. s.a;Aena, S.M.E. S.A.;
aena, s.m.e. s.a.;Aena, S.M.E. S.A.;Transporte
aena, s.m.e., s.a.;Aena, S.M.E. S.A.;Transporte
aepla;AEPLA;Agroalimentario
affordable medicines europe;Affordable Medicines Europe;Salud
airbnb ireland uc;Airbnb;Turismo
airbus;Airbus SE;Defensa
airbus ceo;Airbus SE;
airlines for europe;Airlines for Europe;Transporte
alstom;Alstom;Transporte
amazon;Amazon;Tecnología
amazon europe core;Amazon;Tecnología
amazon europe core sarl;Amazon;Tecnología
amazon web services;Amazon;Tecnología
amazon webservices;Amazon;Tecnología
amcham;AmCham EU — American Chamber of Commerce to the EU;Organizaciones empresariales
amcham eu;AmCham EU — American Chamber of Commerce to the EU;Organizaciones empresariales
amcham europe;AmCham EU — American Chamber of Commerce to the EU;Organizaciones empresariales
amchameu;AmCham EU — American Chamber of Commerce to the EU;Organizaciones empresariales
american chamber of commerce to the eu;AmCham EU — American Chamber of Commerce to the EU;
american chamber of commerce to the european union;AmCham EU — American Chamber of Commerce to the EU;Organizaciones empresariales
american chamber of commerce to the european union (amcham eu);AmCham EU — American Chamber of Commerce to the EU;Organizaciones empresariales
anfac;ANFAC — Asociación Española de Fabricantes de Automóviles y Camiones;Automoción
anfac - spanish association of automobile and truck manufacturers;ANFAC — Asociación Española de Fabricantes de Automóviles y Camiones;Automoción
anfaco-cecopesca;ANFACO-CECOPESCA;Agroalimentario
anged;ANGED — Asociación Nacional de Grandes Empresas de Distribución;Distribución
anged - asociación nacional grandes de empresas de distribución;ANGED — Asociación Nacional de Grandes Empresas de Distribución;Distribución
anmupesca;ANMUPESCA;Agroalimentario
apple;Apple Inc.;Tecnología
apple inc;Apple Inc.;
apple inc.;Apple Inc.;Tecnología
arcelormittal;ArcelorMittal;Industria
asedas;ASEDAS — Asoc. Española de Distribuidores, Autoservicios y Supermercados;Distribución
asjubi40 - jubilacion anticipada sin penalizar;ASJUBI40;Sociedad Civil
asociacion agraria jovenes agricultores;Asociación Agraria Jóvenes Agricultores (ASAJA);Agroalimentario
asociacion española de la banca;AEB — Asociación Española de Banca;Banca
asociacion nacional de perfumeria y cosmetica;STANPA — Asociación Nacional de Perfumería y Cosmética;
asociacion nacional de perfumeria y cosmetica puig;STANPA — Asociación Nacional de Perfumería y Cosmética;
asociación de la banca española;AEB — Asociación Española de Banca;Banca
asociación española de banca;AEB — Asociación Española de Banca;Banca
asociación española de banca (aeb);AEB — Asociación Española de Banca;Banca
asociación española de distribuidores, autoservicios y supermercados;ASEDAS — Asoc. Española de Distribuidores, Autoservicios y Supermercados;Distribución
asociación española de fabricantes de automóviles y camiones;ANFAC — Asociación Española de Fabricantes de Automóviles y Camiones;
asociación española de la banca;AEB — Asociación Española de Banca;Banca
asociación nacional de grandes empresas de distribución;ANGED — Asociación Nacional de Grandes Empresas de Distribución;
asociación nacional de grandes empresas de distribución eurocommerce;ANGED — Asociación Nacional de Grandes Empresas de Distribución;
association of commercial television and video on demand services;ACT;Medios
atresmedia corporación de medios de comunicación;Atresmedia Corporación de Medios de Comunicación, S.A.;Medios
atresmedia corporación de medios de comunicación s.a.;Atresmedia Corporación de Medios de Comunicación, S.A.;Medios
